Name,Categories,Description,Short Description,SKU,Type,Parent,Regular price,Tax status,Tax class,In stock?,Stock,Photo color accent,Images,Note,Visual and packaging notes,Weight (kg),Shipping class
Red Maeng Da - 250g,Red Vein Kratom,,,RMD250,variation,RMD,,taxable,parent,1,,,,,,,
Red Maeng Da - 500g,Red Vein Kratom,,,RMD500,variation,RMD,,taxable,parent,1,,,,,,,
Red Hulu / Red Kapuas,Red Vein Kratom,"<p><strong>'Red Hulu / Red Kapuas Kratom Powder' Product Details (Q&amp;A)</strong></p>
<ul>
  <li>
    <p><strong>Q: What is Red Hulu / Red Kapuas?</strong><br />
    <strong>A:</strong> Red Hulu / Red Kapuas is a kratom powder name associated with the Kapuas River region in Indonesian Borneo. “Hulu” commonly refers to the <strong>upstream</strong> area, and “Red” refers to a red-vein style profile shaped by leaf maturity and post-harvest drying/curing choices.</p>
  </li>

  <li>
    <p><strong>Q: How are the strains sourced?</strong><br />
    <strong>A:</strong> Lots are sourced through regional farms and collector networks that prioritize mature-leaf selection, clean handling, and batch traceability. Harvests are separated by season and processing style to support consistent color, texture, and alkaloid spectrum from batch to batch.</p>
  </li>

  <li>
    <p><strong>Q: Where is it grown?</strong><br />
    <strong>A:</strong> This variety is commonly linked to <strong>Kapuas Hulu</strong> in <strong>West Kalimantan</strong> (Indonesian Borneo), around the upper drainage of the <strong>Kapuas River</strong>. The area is characterized by tropical rainforest conditions with high humidity, frequent rainfall, and river-fed landscapes that support vigorous evergreen growth.</p>
  </li>

  <li>
    <p><strong>Q: What makes this strain unique?</strong><br />
    <strong>A:</strong> Its uniqueness comes from <strong>upstream Kapuas-region sourcing</strong> and a processing approach that aims to preserve a deep, earthy appearance and a robust, steady <strong>alkaloid profile</strong> through mature-leaf selection and controlled drying/curing. (No therapeutic or medical claims are made.)</p>
  </li>

  <li>
    <p><strong>Q: How long does it take to cultivate Thai kratom trees?</strong><br />
    <strong>A:</strong> Mitragyna speciosa commonly requires about <strong>2–3 years</strong> before producing leaves suitable for initial harvesting, while many growers consider <strong>3–5 years</strong> a more dependable window for consistent, repeatable harvest cycles (conditions and care can shift timelines).</p>
  </li>

  <li>
    <p><strong>Q: What is the after-harvesting process?</strong><br />
    <strong>A:</strong> Leaves are collected and inspected, then cleaned and dried under controlled conditions. Depending on the batch style, a curing step may be used to stabilize moisture and color. The dried leaf material is then milled, sifted, and prepared for final quality verification.</p>
  </li>

  <li>
    <p><strong>Q: How long does it take to cultivate Thai kratom trees?</strong><br />
    <strong>A:</strong> As a practical benchmark, expect roughly <strong>3–5 years</strong> for trees to reach a stable harvest rhythm in suitable tropical conditions, supported by ongoing care and seasonal growth cycles.</p>
  </li>

  <li>
    <p><strong>Q: Microgrinding Process</strong><br />
    <strong>A:</strong> After primary milling, the dried leaf material is <strong>microground</strong> to a fine, uniform powder for consistent texture and more even batch blending.</p>
  </li>

  <li>
    <p><strong>Q: Contaminant Filtration</strong><br />
    <strong>A:</strong> The finished powder goes through a thorough, <strong>supervisor-led contaminant filtration</strong> process intended to remove unwanted foreign material and help ensure a clean, uniform final output.</p>
  </li>

  <li>
    <p><strong>Q: Heavy Metals Testing</strong><br />
    <strong>A:</strong> Each batch goes through a thorough <strong>heavy metals testing</strong> stage as part of quality verification prior to release.</p>
  </li>

  <li>
    <p><strong>Q: Microbial Testing</strong><br />
    <strong>A:</strong> Each batch goes through a thorough <strong>microbial testing</strong> stage to verify it meets internal quality standards.</p>
  </li>

  <li>
    <p><strong>Q: Is the product intended for human consumption?</strong><br />
    <strong>A:</strong> <strong>No.</strong> This product is <strong>not intended for human consumption</strong>. It is sold for botanical reference, educational, or research purposes only. Keep out of reach of children and pets.</p>
  </li>
</ul>
<br />
<p><em>Note:</em> This description focuses on origin, cultivation timelines, processing, and quality controls only, and does not make medical or therapeutic claims.</p>
","<p><strong>Red Hulu / Red Kapuas</strong> is a regional “red vein” kratom powder name tied to the <strong>Kapuas River basin</strong>, especially the upstream <strong>Kapuas Hulu</strong> area in West Kalimantan (Indonesian Borneo). This rainforest river region is known for dense canopy cover, consistent humidity, and fertile floodplain soils that support strong evergreen leaf growth.<br /><br />
Our Red Hulu / Red Kapuas batches are sourced through established farm-and-collector networks that focus on mature-leaf selection, clean handling, and lot separation for consistent appearance and alkaloid spectrum. What makes it unique is its origin story, remote upstream sourcing, paired with careful drying/curing that helps preserve a rich, earthy color and a robust, steady botanical profile (no therapeutic or medical claims). Kratom trees typically need <strong>2–3 years</strong> before initial harvestable leaves, and often <strong>3–5 years</strong> for reliable, repeatable harvesting.<br /><br />
After harvest, leaves are inspected, cleaned, dried, milled, and <strong>microground</strong> for uniform fineness. Every batch goes through supervisor-led contaminant filtration plus heavy metals and microbial testing. <strong>Not intended for human consumption.</strong></p>
",RH,variable,RH,,taxable,,1,,"warm khaki-tan #A07845 — Visually verified: nearly identical to Red Bali — warm khaki-tan, NOT earthy red-brown.",,,,0.23,Regular
Red Hulu / Red Kapuas - 25g,Red Vein Kratom,,,RH25,variation,RH,,taxable,parent,1,,,,,,,
Red Hulu / Red Kapuas - 50g,Red Vein Kratom,,,RH50,variation,RH,,taxable,parent,1,,,,,,,
Red Hulu / Red Kapuas - 100g,Red Vein Kratom,,,RH100,variation,RH,,taxable,parent,1,,,,,,,
Red Hulu / Red Kapuas - 250g,Red Vein Kratom,,,RH250,variation,RH,,taxable,parent,1,,,,,,,
Red Hulu / Red Kapuas - 500g,Red Vein Kratom,,,RH500,variation,RH,,taxable,parent,1,,,,,,,
Green Maeng Da,Green Vein Kratom,"<p><strong>'Green Maeng Da Kratom Powder' Product Details (Q&amp;A)</strong></p>
<ul>
  <li>
    <p><strong>Q: What is Green Maeng Da?</strong><br />
    <strong>A:</strong> Green Maeng Da is a kratom powder name used in the botanical marketplace. “Green” refers to a green-vein style profile influenced by leaf maturity and drying approach, while “Maeng Da” is commonly described as a Thai-origin trade term associated with premium-style selection and consistent batching.</p>
  </li>

  <li>
    <p><strong>Q: How are the strains sourced?</strong><br />
    <strong>A:</strong> Lots are sourced through established farm and collector networks that prioritize mature-leaf picking, clean handling, and batch separation. Harvests are kept distinct by season and processing style to support consistent color, grind texture, and alkaloid-spectrum uniformity.</p>
  </li>

  <li>
    <p><strong>Q: Where is it grown?</strong><br />
    <strong>A:</strong> While the naming has Thai roots, most large-scale supply is commonly sourced from Indonesia, especially humid equatorial regions such as <strong>Kalimantan (Indonesian Borneo)</strong> and <strong>Sumatra</strong>, where warmth, rainfall, and fertile soils support vigorous evergreen growth.</p>
  </li>

  <li>
    <p><strong>Q: What makes this strain unique?</strong><br />
    <strong>A:</strong> Green Maeng Da is typically positioned as a “high-grade selection” style built around mature-leaf sorting and controlled post-harvest handling to target a <strong>more consistent alkaloid spectrum</strong> and a clean, green-forward appearance. (No therapeutic or medical claims are made.)</p>
  </li>

  <li>
    <p><strong>Q: How long does it take to cultivate Thai kratom trees?</strong><br />
    <strong>A:</strong> A common cultivation benchmark for Mitragyna speciosa is about <strong>3–5 years</strong> to reach dependable maturity for consistent harvesting, with timelines varying by climate, soil, and care.</p>
  </li>

  <li>
    <p><strong>Q: What is the after-harvesting process?</strong><br />
    <strong>A:</strong> Leaves are collected and inspected, then cleaned and dried under controlled conditions. For green-style batches, producers often emphasize <strong>shade or indoor, airflow-assisted drying</strong> to help maintain greener color and stable moisture. The dried leaf is then milled, sifted, and prepared for final quality verification.</p>
  </li>

  <li>
    <p><strong>Q: How long does it take to cultivate Thai kratom trees?</strong><br />
    <strong>A:</strong> In practical production terms, many growers plan on roughly <strong>3–5 years</strong> before trees reach a stable harvest rhythm, supported by ongoing care and seasonal growth cycles.</p>
  </li>

  <li>
    <p><strong>Q: Microgrinding Process</strong><br />
    <strong>A:</strong> After primary milling, the dried leaf material is <strong>microground</strong> to a fine, uniform powder for consistent texture and more even batch blending.</p>
  </li>

  <li>
    <p><strong>Q: Contaminant Filtration</strong><br />
    <strong>A:</strong> The finished powder goes through a thorough, <strong>supervisor-led contaminant filtration</strong> process intended to remove unwanted foreign material and help ensure a clean, uniform final output.</p>
  </li>

  <li>
    <p><strong>Q: Heavy Metals Testing</strong><br />
    <strong>A:</strong> Each batch goes through a thorough <strong>heavy metals testing</strong> stage as part of quality verification prior to release.</p>
  </li>

  <li>
    <p><strong>Q: Microbial Testing</strong><br />
    <strong>A:</strong> Each batch goes through a thorough <strong>microbial testing</strong> stage to verify it meets internal quality standards.</p>
  </li>

  <li>
    <p><strong>Q: Is the product intended for human consumption?</strong><br />
    <strong>A:</strong> <strong>No.</strong> This product is <strong>not intended for human consumption</strong>. It is sold for botanical reference, educational, or research purposes only. Keep out of reach of children and pets.</p>
  </li>
</ul>
<br />
<p><em>Note:</em> This description focuses on origin, cultivation timelines, processing, and quality controls only, and does not make medical or therapeutic claims.</p>
","<p><strong>Green Maeng Da</strong> is a popular “green vein” kratom powder name in the botanical trade. “Maeng Da” is often described as a Thai-origin trade term associated with premium-style leaf selection and strict lot consistency, while most modern supply is typically sourced from Indonesia’s equatorial growing regions (notably Kalimantan/Borneo and Sumatra).<br /><br />
Batches are sourced through established farm-and-collector networks with mature-leaf selection, careful handling, and controlled drying designed to help maintain a greener appearance and a stable alkaloid spectrum. Kratom trees (Mitragyna speciosa) commonly require <strong>3–5 years</strong> of cultivation before dependable harvesting is practical.<br /><br />
After harvest, leaves are inspected, cleaned, dried, milled, and <strong>microground</strong> to a uniform powder, then passed through supervisor-led contaminant filtration plus heavy metals and microbial testing. <strong>Not intended for human consumption.</strong></p>
",GMD,variable,GMD,,taxable,,1,,"olive-yellow green #7A8A3A — Visually verified: yellowish olive-green, slightly more yellow than other greens.",,,,0.23,Regular
Green Maeng Da - 25g,Green Vein Kratom,,,GMD25,variation,GMD,,taxable,parent,1,,,,,,,
Green Maeng Da - 50g,Green Vein Kratom,,,GMD50,variation,GMD,,taxable,parent,1,,,,,,,
Green Maeng Da - 100g,Green Vein Kratom,,,GMD100,variation,GMD,,taxable,parent,1,,,,,,,
Green Maeng Da - 250g,Green Vein Kratom,,,GMD250,variation,GMD,,taxable,parent,1,,,,,,,
Green Maeng Da - 500g,Green Vein Kratom,,,GMD500,variation,GMD,,taxable,parent,1,,,,,,,
Green Malay,Green Vein Kratom,"<p><strong>'Green Malay Kratom Powder' Product Details (Q&amp;A)</strong></p>
<ul>
  <li>
    <p><strong>Q: What is Green Malay?</strong><br />
    <strong>A:</strong> Green Malay is a kratom powder name used in the botanical marketplace. “Green” refers to a green-vein style profile influenced by leaf maturity and drying approach, and “Malay” points to Malaysian growing heritage and regional sourcing traditions.</p>
  </li>

  <li>
    <p><strong>Q: How are the strains sourced?</strong><br />
    <strong>A:</strong> Lots are sourced through established farm-and-collector networks that prioritize mature-leaf selection, clean handling, and lot separation. Harvests are kept distinct by season and processing style to support consistent color, texture, and alkaloid-spectrum uniformity.</p>
  </li>

  <li>
    <p><strong>Q: Where is it grown?</strong><br />
    <strong>A:</strong> Green Malay is commonly associated with <strong>northern Peninsular Malaysia</strong> and <strong>Borneo</strong> (including Malaysian Borneo), where kratom naturally favors <strong>riverine, wetland, and swamp-adjacent</strong> environments. These humid tropical zones provide warm temperatures, frequent rainfall, and water-influenced soils that support vigorous evergreen leaf growth.</p>
  </li>

  <li>
    <p><strong>Q: What makes this strain unique?</strong><br />
    <strong>A:</strong> Green Malay is often characterized by a <strong>green-forward appearance</strong> and a typically steady, carefully managed <strong>alkaloid spectrum</strong>, supported by mature-leaf selection and controlled drying designed to preserve color and consistency. (No therapeutic or medical claims are made.)</p>
  </li>

  <li>
    <p><strong>Q: How long does it take to cultivate Thai kratom trees?</strong><br />
    <strong>A:</strong> As a practical benchmark across Southeast Asian cultivation conditions (including Thailand), Mitragyna speciosa often needs about <strong>2–3 years</strong> before initial harvesting becomes realistic, and commonly <strong>3–5 years</strong> for dependable, repeatable harvest cycles depending on climate, soil, and care.</p>
  </li>

  <li>
    <p><strong>Q: What is the after-harvesting process?</strong><br />
    <strong>A:</strong> Leaves are collected and inspected, then cleaned to remove field debris. They are dried under controlled conditions (often emphasizing airflow and reduced direct sun exposure for green-style batches), then milled and sifted. The powder is then prepared for final filtration, verification, and packaging steps.</p>
  </li>

  <li>
    <p><strong>Q: How long does it take to cultivate Thai kratom trees?</strong><br />
    <strong>A:</strong> For stable production planning, many growers use <strong>3–5 years</strong> as the window for trees to reach a reliable harvest rhythm, with ongoing pruning and seasonal cycles influencing leaf yield and consistency.</p>
  </li>

  <li>
    <p><strong>Q: Microgrinding Process</strong><br />
    <strong>A:</strong> After primary milling, the dried leaf material is <strong>microground</strong> to a fine, uniform powder for consistent texture and more even batch blending.</p>
  </li>

  <li>
    <p><strong>Q: Contaminant Filtration</strong><br />
    <strong>A:</strong> The finished powder goes through a thorough, <strong>supervisor-led contaminant filtration</strong> process intended to remove unwanted foreign material and help ensure a clean, uniform final output.</p>
  </li>

  <li>
    <p><strong>Q: Heavy Metals Testing</strong><br />
    <strong>A:</strong> Each batch goes through a thorough <strong>heavy metals testing</strong> stage as part of quality verification prior to release.</p>
  </li>

  <li>
    <p><strong>Q: Microbial Testing</strong><br />
    <strong>A:</strong> Each batch goes through a thorough <strong>microbial testing</strong> stage to verify it meets internal quality standards.</p>
  </li>

  <li>
    <p><strong>Q: Is the product intended for human consumption?</strong><br />
    <strong>A:</strong> <strong>No.</strong> This product is <strong>not intended for human consumption</strong>. It is sold for botanical reference, educational, or research purposes only. Keep out of reach of children and pets.</p>
  </li>
</ul>
<br />
<p><em>Note:</em> This description focuses on origin, cultivation timelines, processing, and quality controls only, and does not make medical or therapeutic claims.</p>
","<p><strong>Green Malay</strong> is a well-known “green vein” kratom powder name associated with Malaysian growing heritage, especially tropical lowland areas of <strong>northern Peninsular Malaysia</strong> and <strong>Borneo</strong>, where Mitragyna speciosa naturally thrives near riverbanks, wetlands, and swampy ground.<br /><br />
Our Green Malay lots are sourced through established farm-and-collector networks that prioritize mature-leaf selection, careful handling, and batch traceability. What makes Green Malay unique is its greener, clean-looking appearance and a typically steady alkaloid spectrum supported by controlled drying that helps preserve color and consistency (no therapeutic or medical claims). Cultivation commonly requires about <strong>2–3 years</strong> before initial harvesting is practical, and often <strong>3–5 years</strong> for dependable, repeatable harvest cycles.<br /><br />
After harvest, leaves are inspected, cleaned, dried, milled, and <strong>microground</strong> to uniform fineness, then passed through supervisor-led contaminant filtration plus heavy metals and microbial testing. <strong>Not intended for human consumption.</strong></p>
",GM,variable,GM,,taxable,,1,,"bright moss green #5A7830 — Visually verified: the brightest, most vivid green of the three — true moss green.",,,,0.23,Regular
Green Malay - 25g,Green Vein Kratom,,,GM25,variation,GM,,taxable,parent,1,,,,,,,
Green Malay - 50g,Green Vein Kratom,,,GM50,variation,GM,,taxable,parent,1,,,,,,,
Green Malay - 100g,Green Vein Kratom,,,GM100,variation,GM,,taxable,parent,1,,,,,,,
Green Malay - 250g,Green Vein Kratom,,,GM250,variation,GM,,taxable,parent,1,,,,,,,
Green Malay - 500g,Green Vein Kratom,,,GM500,variation,GM,,taxable,parent,1,,,,,,,
